student_id,attendance_pct,study_hours_week,assignment_score,internal_marks,prev_sem_cgpa,activity_score,final_exam_marks
S00001,85.0,13.3,50.5,65.0,7.92,15.4,59.1
S00002,78.6,15.9,58.1,65.7,7.84,33.9,64.37
S00003,86.5,13.8,48.2,65.8,6.38,43.3,60.01
S00004,95.2,18.8,59.5,80.6,8.2,58.0,62.95
S00005,77.7,26.4,52.9,65.2,5.71,75.5,62.11
S00006,77.7,12.6,47.0,63.4,6.71,68.9,60.65
S00007,95.8,25.0,40.9,59.8,5.1,31.4,62.14
S00008,87.7,12.5,64.6,74.3,9.37,47.6,62.61
S00009,75.3,12.1,55.5,69.4,7.22,56.5,61.56
S00010,85.4,23.7,52.0,74.3,10.0,49.8,75.88
S00011,75.4,24.5,49.3,63.5,8.46,49.6,57.83
S00012,75.3,24.0,66.3,70.7,8.04,20.5,54.44
S00013,82.4,8.8,49.2,65.2,6.8,31.9,65.71
S00014,60.9,14.7,41.6,56.3,6.24,46.9,51.91
S00015,62.8,23.8,48.0,55.4,8.13,0.0,53.24
S00016,74.4,18.3,44.1,60.6,7.41,67.8,55.51
S00017,69.9,10.5,40.7,51.3,5.89,27.5,48.14
S00018,83.1,21.2,54.4,62.5,5.68,68.7,67.63
S00019,70.9,13.0,44.3,61.2,6.35,67.0,44.87
S00020,65.9,30.6,62.0,69.5,9.69,44.1,67.39
S00021,94.7,28.8,78.0,83.1,10.0,75.0,92.62
S00022,77.7,22.2,50.0,59.7,7.75,69.9,67.42
S00023,80.7,27.5,57.6,67.9,7.68,48.8,71.86
S00024,65.8,18.5,52.8,55.5,7.1,46.6,58.42
S00025,74.6,23.4,43.2,53.3,6.38,76.9,59.86
S00026,81.1,28.3,61.7,69.1,9.15,59.6,68.88
S00027,68.5,19.7,67.2,67.1,9.75,75.9,64.39
S00028,83.8,16.2,47.4,56.7,6.43,7.2,59.63
S00029,74.0,6.1,52.7,61.4,7.4,57.0,51.03
S00030,77.1,17.4,48.6,50.5,6.96,23.5,56.3
S00031,74.0,23.8,61.4,62.5,7.0,54.5,64.26
S00032,98.5,24.6,54.1,74.0,8.92,69.3,86.27
S00033,79.9,21.5,48.8,65.9,5.93,89.8,60.9
S00034,69.4,14.2,40.6,55.1,8.06,36.2,60.24
S00035,88.2,4.2,48.7,62.8,8.37,44.5,60.83
S00036,67.8,14.5,42.6,54.8,7.33,53.1,52.45
S00037,82.1,15.9,53.7,57.6,8.57,35.5,52.91
S00038,60.4,15.8,38.9,55.9,7.68,74.6,52.99
S00039,66.7,22.3,53.4,67.4,8.96,53.6,68.94
S00040,82.0,31.9,54.3,68.8,5.67,57.4,59.23
S00041,87.4,18.9,44.1,74.8,7.08,67.4,68.65
S00042,81.7,16.5,48.1,55.7,7.41,53.6,66.29
S00043,78.8,16.2,56.8,51.1,4.29,38.6,53.5
S00044,77.0,18.9,49.5,63.0,6.2,53.7,63.76
S00045,65.2,12.2,32.0,46.4,6.52,37.9,46.68
S00046,72.8,18.8,45.2,56.5,8.64,57.2,62.51
S00047,75.4,21.2,50.5,59.4,6.65,74.9,69.15
S00048,90.6,19.5,53.4,62.8,6.52,31.5,52.03
S00049,83.4,21.2,53.5,76.7,8.48,24.4,61.52
S00050,62.4,21.0,55.1,67.8,5.56,56.0,65.05
S00051,83.2,5.6,57.5,51.1,5.01,39.6,58.96
S00052,76.1,22.5,49.4,54.4,7.07,55.6,50.91
S00053,73.2,13.3,48.6,52.1,5.76,61.4,61.8
S00054,86.1,10.3,52.0,57.1,5.81,12.1,37.52
S00055,90.3,10.3,61.2,66.3,8.19,68.8,67.61
S00056,89.3,21.0,55.2,69.7,8.55,31.6,67.89
S00057,71.6,16.4,63.6,65.2,8.45,54.6,58.39
S00058,76.9,6.2,51.1,55.8,8.83,41.8,50.83
S00059,83.3,21.3,61.1,67.0,8.99,44.0,63.66
S00060,89.8,7.9,44.2,64.0,4.95,88.9,53.76
S00061,75.2,19.0,51.8,61.8,8.04,61.4,73.23
S00062,78.1,19.7,51.8,60.2,6.86,73.1,65.67
S00063,68.9,24.2,40.9,48.0,6.6,58.0,63.74
S00064,68.0,30.5,42.6,58.2,8.17,67.4,61.01
S00065,88.1,8.4,44.1,61.6,5.42,63.3,55.19
S00066,93.6,17.6,44.5,63.5,5.4,60.1,52.83
S00067,79.3,16.1,56.8,70.7,8.26,77.1,63.08
S00068,90.0,21.0,60.4,66.0,8.09,58.1,64.36
S00069,83.6,19.5,54.2,60.3,7.66,100.0,67.74
S00070,73.5,15.5,55.1,66.1,6.44,74.2,55.0
S00071,83.6,14.9,54.9,71.3,8.39,32.2,57.75
S00072,95.4,10.2,48.0,65.4,8.32,51.5,63.71
S00073,79.6,24.9,53.1,70.1,7.6,62.9,65.88
S00074,95.6,21.2,60.6,63.8,6.09,55.9,61.16
S00075,53.8,24.4,33.4,42.7,6.99,68.7,45.68
S00076,88.2,15.8,56.3,61.4,8.51,70.9,60.33
