student_id,attendance_pct,study_hours_week,assignment_score,internal_marks,prev_sem_cgpa,activity_score,final_exam_marks
S06781,94.5,24.1,70.5,74.1,8.76,53.8,91.22
S09121,92.4,27.1,76.0,91.8,,84.7,89.68
S04870,74.2,11.2,71.9,57.8,7.15,76.0,71.08
S02579,65.1,8.9,52.5,49.81,6.51,25.7,45.56
S08169,89.0,24.1,85.3,90.4,8.96,74.2,95.55
S08918,65.1,23.5,63.1,60.2,7.05,35.4,56.59
S04174,40.5,2.0,52.2,44.0,4.92,53.8,30.08
S08502,65.7,12.2,58.0,62.0,6.52,60.6,49.25
S06869,85.7,,83.7,91.9,9.15,76.7,89.65
S09156,52.6,5.9,43.5,41.3,4.0,46.9,34.95
S05927,65.5,8.1,41.4,33.5,,54.1,42.71
S03536,67.9,7.4,93.4,73.8,8.24,67.8,70.53
S01449,56.2,8.4,55.3,47.0,5.76,31.0,40.0
S00544,82.9,24.9,94.1,87.4,,72.9,86.41
S09924,84.4,16.4,60.2,62.9,,,69.91
S05773,100.0,30.8,91.4,100.0,8.36,81.7,100.0
S08374,56.0,2.0,52.1,55.7,,18.1,50.32
S05787,63.5,11.7,60.0,48.6,5.31,71.5,50.85
S03032,57.2,11.8,61.3,46.4,6.28,22.3,53.8
S06030,70.5,9.9,81.0,71.2,8.77,81.4,76.49
S01832,71.0,14.9,72.4,59.3,6.61,54.0,70.01
S09458,84.8,17.0,69.2,77.0,8.99,68.0,88.07
S03465,74.8,20.1,,82.7,5.89,81.0,72.76
S07339,74.1,18.8,,50.7,6.93,69.2,72.09
S09668,92.6,20.8,81.5,74.2,7.67,59.7,78.2
S03997,81.9,19.3,67.4,83.6,6.86,61.5,85.49
S01606,88.7,20.3,79.0,72.6,6.84,59.9,59.97
S08598,77.6,8.3,64.1,58.0,7.61,26.9,60.63
S07560,40.0,8.3,32.1,30.0,4.0,,19.71
S01939,83.4,16.3,86.9,73.0,6.8,68.2,82.81
S05309,73.9,26.5,75.1,65.6,9.22,59.8,91.02
S03737,50.6,18.1,46.6,59.3,5.96,43.1,64.27
S00691,,16.3,78.2,74.5,6.22,65.1,78.29
S03097,81.7,24.5,74.9,54.3,7.58,57.3,62.33
S07005,53.1,2.9,47.7,44.8,6.01,26.6,34.24
S07762,91.7,20.2,83.6,87.9,9.18,68.3,85.27
S00048,67.9,7.2,71.3,56.8,7.23,52.8,66.59
S07057,77.8,16.7,90.2,73.8,7.17,79.5,79.72
S09219,99.0,16.2,79.6,74.4,7.01,66.4,68.89
S05975,87.3,22.3,78.3,76.0,8.52,94.9,85.34
S09313,87.3,15.0,64.6,67.2,6.0,81.7,63.03
S07065,63.3,16.1,,71.4,7.31,49.1,61.95
S04344,78.0,29.6,70.0,69.5,8.22,82.1,81.26
S07592,85.0,23.1,84.6,75.9,6.33,67.3,83.8
S06608,85.2,16.6,85.3,67.2,7.03,49.9,77.98
S05513,78.5,32.8,92.7,77.2,10.0,87.1,86.22
S07014,81.6,20.0,93.7,68.9,8.4,71.2,79.67
S06150,62.9,20.6,65.3,53.2,8.03,,62.93
S01296,80.7,17.7,82.3,78.1,6.38,56.1,63.22
S04568,88.4,19.9,75.7,72.0,6.6,56.0,68.7
S01456,63.8,9.9,80.1,63.1,8.21,64.1,76.87
S03687,60.8,9.8,73.8,,5.76,37.9,42.8
S01632,71.8,11.8,99.7,74.6,8.38,71.1,75.82
S08789,72.8,15.8,97.8,77.3,8.29,78.4,86.92
S00686,76.0,17.6,,67.6,5.9,73.2,69.55
S00702,71.9,21.3,66.46,71.3,7.64,66.1,82.54
S04832,45.8,2.0,54.6,39.7,4.96,32.4,33.11
S09823,78.5,16.0,,77.2,7.89,81.8,73.01
S03695,73.7,9.0,78.1,72.8,8.31,71.2,69.49
S09958,65.1,9.4,69.3,77.2,8.17,48.8,73.53
S08016,90.7,10.2,75.8,81.2,6.7,45.5,62.86
S07418,86.5,19.3,100.0,77.8,8.67,79.8,100.0
S04185,89.6,29.0,91.9,78.1,9.81,71.6,84.93
S08767,78.6,10.7,69.5,75.8,7.55,70.3,69.28
S01658,81.0,18.9,78.8,71.2,7.65,63.1,71.42
S03841,92.4,37.3,100.0,98.8,10.0,87.6,100.0
S04124,87.7,18.9,75.1,77.4,6.05,48.4,78.35
S06296,70.8,16.8,57.1,61.1,6.71,46.9,56.69
S03506,64.2,23.0,,55.2,6.49,53.7,54.98
S03245,90.4,23.2,73.5,60.7,7.72,62.0,79.13
S07126,89.3,32.6,81.2,87.2,10.0,92.5,91.44
S07145,79.9,13.0,75.2,47.3,7.19,40.3,66.39
S09517,59.7,8.0,47.9,45.9,5.58,49.7,46.42
S09386,79.7,18.1,66.6,73.2,6.53,77.7,87.44
S08743,80.3,12.4,66.4,71.0,,40.4,82.17
S06836,75.9,17.4,79.3,70.5,,62.5,71.34
S06792,76.9,21.4,77.1,69.8,7.51,86.2,73.82
S02013,65.4,8.7,57.3,52.8,7.87,45.3,60.2
S07873,68.3,7.4,37.1,47.8,6.27,43.1,46.74
S00049,51.0,7.8,38.7,30.0,6.16,19.0,36.72
S07067,88.0,19.6,80.9,86.7,9.52,73.6,91.65
S01014,80.1,10.8,51.9,59.9,6.98,59.3,64.7
S05859,83.1,27.7,,58.9,7.69,62.4,77.96
S06762,74.2,10.2,52.8,48.0,5.13,62.5,46.92
S08643,78.9,7.2,56.5,32.9,6.76,46.1,59.45
S09368,60.1,14.5,66.9,52.4,5.75,45.5,56.0
S06962,73.5,28.6,83.5,98.4,9.16,74.7,100.0
S04902,84.4,22.5,71.4,49.0,8.15,57.4,69.83
S04073,73.7,8.2,60.7,34.2,6.5,53.2,48.01
S08868,62.8,3.8,75.1,58.5,5.97,35.4,53.27
S07096,75.6,19.7,63.8,73.4,8.64,53.0,79.43
S02367,94.1,16.9,83.4,78.9,9.14,54.3,97.29
S06095,62.8,18.4,54.7,67.8,6.17,30.8,55.75
S00506,81.4,19.4,62.0,68.2,8.32,63.6,80.3
S05041,70.8,20.9,63.7,46.4,6.01,60.8,62.74
S06279,71.1,19.9,89.5,87.0,8.46,,86.16
S00416,60.4,12.0,63.2,52.5,6.3,43.8,50.68
S07924,89.8,14.2,81.2,70.1,5.11,40.7,61.39
S03890,78.7,16.8,70.4,62.4,6.0,23.8,72.9
S07589,82.2,31.7,86.8,100.0,10.0,70.2,100.0
S09937,89.2,19.5,74.0,77.2,7.84,66.3,83.77
S04482,78.8,18.4,47.7,50.4,7.13,40.7,65.91
S08728,76.0,19.9,58.8,60.1,7.02,47.8,58.5
S05191,82.2,17.5,87.7,92.8,9.21,53.5,98.52
S02518,87.6,19.2,67.1,74.9,6.81,45.5,79.09
S00656,68.9,10.9,76.7,66.8,8.07,32.3,53.33
S04851,,22.0,91.1,83.4,7.56,79.3,85.05
S02647,100.0,28.0,82.8,100.0,10.0,93.1,93.8
S09572,88.7,14.9,,100.0,9.06,62.1,96.26
S06755,44.6,2.0,30.0,30.0,4.0,36.3,4.46
S04372,62.7,14.9,41.6,54.2,5.26,44.3,46.42
S09014,67.7,16.7,49.2,69.0,6.49,55.1,55.65
S08948,62.0,7.2,53.6,49.8,5.83,45.1,43.57
S02461,94.7,30.5,87.8,87.4,4.74,74.6,67.76
S01743,76.7,22.6,84.8,,8.88,,73.97
S04676,90.9,32.3,78.8,87.8,8.43,90.6,87.35
S09665,79.2,24.2,64.8,,6.72,62.1,84.84
S09168,91.2,15.8,68.8,76.65,5.78,67.1,81.1
S06153,84.7,20.0,75.4,66.8,6.87,63.2,80.33
S02279,87.6,20.3,83.1,76.7,8.88,80.8,97.68
S03387,80.6,19.3,72.6,66.0,6.08,48.7,74.81
S01704,72.4,16.4,69.7,82.5,6.74,49.8,75.3
S01076,72.1,6.1,47.6,54.9,6.23,66.8,59.98
S03880,72.8,16.7,72.8,78.8,5.49,56.2,58.76
S03528,75.4,9.5,57.3,47.0,5.6,37.6,50.88
S08276,92.5,14.7,78.4,80.9,7.96,79.7,76.44
S07153,84.2,14.7,82.6,82.5,6.38,51.7,69.4
S05412,66.3,10.8,83.5,73.7,8.59,29.8,61.22
S03976,80.4,20.3,,64.1,8.13,51.2,87.39
S09134,84.9,14.5,75.9,75.3,7.12,73.4,95.65
S00253,76.4,16.8,80.7,54.3,8.79,72.1,81.89
S01481,69.5,2.0,60.8,48.9,6.72,51.9,70.17
S05140,56.3,7.5,35.2,53.7,5.47,56.0,55.2
S04224,66.6,14.3,91.6,,9.42,84.8,99.83
S08418,41.5,2.0,66.8,35.8,4.0,48.5,27.62
S07263,100.0,30.4,100.0,100.0,9.79,71.6,98.39
S02641,73.7,15.3,56.9,53.3,7.06,60.7,50.3
S00404,69.9,13.6,95.5,71.0,,75.2,92.35
S02785,70.9,18.5,60.6,58.8,7.27,48.0,60.69
S03604,95.7,21.8,83.9,65.2,8.9,62.3,82.76
S01375,85.7,22.0,70.2,81.8,7.57,77.6,82.36
S03459,79.7,8.6,67.9,51.4,6.61,45.5,63.2
S00888,78.9,16.3,51.1,55.1,6.21,45.1,53.12
S01077,57.1,8.9,58.5,47.0,5.43,48.6,60.72
S09693,78.7,17.4,80.8,77.0,6.04,43.3,87.72
S05325,58.8,12.6,47.1,44.7,4.61,30.9,35.89
S05175,49.3,8.6,51.9,41.8,5.84,56.2,41.06
S09164,68.1,9.4,73.0,53.5,8.3,59.5,54.65
S07567,86.4,,100.0,100.0,9.81,70.7,100.0
S00304,47.3,2.0,39.9,44.3,5.31,37.0,34.16
S07703,63.8,8.4,54.9,43.3,7.49,49.8,47.89
S01551,81.9,15.3,77.4,85.7,8.04,79.8,85.87
S08824,56.9,13.9,79.9,70.4,6.48,48.8,60.31
S02953,71.0,14.5,69.0,64.0,8.31,63.9,73.63
S08590,,18.8,94.0,65.4,7.16,76.7,78.59
S04752,84.0,25.8,88.5,80.3,9.51,,96.03
S04137,59.9,2.0,44.8,32.6,5.76,60.9,39.17
S09200,74.1,8.2,85.3,65.2,8.21,62.8,82.3
S05489,70.8,15.7,69.2,56.5,6.32,47.0,63.63
S05833,79.1,16.1,50.6,62.4,6.94,45.4,58.02
S00905,85.0,21.1,83.2,77.2,6.39,78.4,80.3
S02889,75.4,19.4,79.0,68.9,5.35,,66.01
S01205,72.7,17.1,43.9,39.4,5.7,37.2,47.92
S04385,,12.9,71.8,69.7,8.05,57.3,59.12
S01508,78.9,12.4,74.6,85.4,7.95,69.1,89.83
S04292,71.0,10.0,76.5,65.6,8.28,55.3,71.22
S06191,69.1,,73.5,47.7,5.83,63.2,49.33
S04031,66.8,2.0,47.6,60.7,5.71,31.5,35.34
S03579,81.2,9.1,61.8,47.6,5.79,,39.58
S06064,60.7,11.5,71.0,65.6,7.54,67.1,69.75
S09414,77.9,14.2,74.7,62.6,6.81,70.1,60.17
S02381,79.1,16.9,89.0,79.8,8.06,59.7,76.83
S00026,69.1,14.5,70.3,66.3,5.47,59.6,62.15
S09116,51.6,16.1,58.2,56.1,5.61,62.8,53.82
S07122,66.6,12.0,77.4,67.5,8.48,57.6,68.93
S00273,80.1,23.1,91.3,79.4,9.68,59.1,94.61
S04497,71.2,7.9,49.7,59.8,4.65,31.5,54.15
S02867,69.5,2.6,49.4,30.0,5.25,27.0,41.71
S00847,67.3,13.2,71.7,67.0,8.84,51.7,82.51
S03253,95.9,37.9,93.5,100.0,9.86,93.4,100.0
S08768,80.2,18.6,72.4,75.4,6.81,54.0,80.33
S08116,100.0,28.4,91.1,88.5,9.24,67.4,99.74
S06897,70.3,8.8,83.5,71.6,8.29,73.0,75.46
S01719,91.8,24.0,91.0,84.0,,100.0,95.59
S06013,68.4,16.8,71.7,,6.11,37.4,59.8
S09696,70.5,23.3,74.3,66.1,8.16,72.6,77.69
S00407,82.3,,89.2,83.2,8.24,83.3,85.09
S03300,72.0,11.8,51.5,56.6,7.45,49.6,52.5
S09574,54.6,2.0,49.6,42.5,4.95,39.2,22.49
S09570,67.4,6.2,74.5,51.9,6.35,63.3,51.67
S01092,85.5,22.4,78.8,84.5,6.68,61.8,81.95
S04419,64.1,25.3,77.8,76.6,8.2,46.6,80.95
S04038,90.6,23.3,88.2,88.6,8.67,62.7,88.5
S00168,84.6,16.8,83.6,,6.08,48.5,71.38
S03474,72.0,10.4,84.1,64.0,8.3,75.3,73.2
S02048,87.9,20.8,66.6,69.4,7.78,37.3,79.5
S03916,71.2,13.6,61.9,63.4,6.54,64.7,78.47
S08902,69.8,9.4,66.5,68.9,7.08,56.0,66.55
S05608,61.4,13.0,50.5,46.0,5.89,25.3,45.4
S01175,92.6,31.8,100.0,100.0,9.69,70.8,96.69
S07318,66.5,33.4,89.8,75.9,8.75,71.4,76.67
S03941,73.4,9.0,44.5,48.1,4.56,39.9,41.05
S03712,70.8,27.9,91.2,85.8,9.5,66.3,95.0
S04731,74.3,7.1,70.4,53.1,7.35,54.5,60.99
S04421,68.5,4.0,45.6,51.5,5.99,38.5,41.88
S00727,100.0,18.3,76.3,59.4,8.14,,76.13
S08477,88.6,22.5,77.9,83.6,7.03,74.0,92.15
S01186,75.8,3.7,80.9,,6.56,54.5,73.19
S03849,76.6,19.5,85.5,81.1,7.23,,79.55
S08162,73.0,15.5,59.3,38.4,6.21,44.4,43.5
S02672,69.1,2.0,57.9,38.8,5.27,63.7,43.58
S00118,53.1,6.8,49.3,49.9,5.84,41.6,42.8
S03834,84.1,24.0,81.3,82.1,6.57,77.6,80.53
S00894,76.8,21.5,61.2,74.5,6.93,59.8,84.25
S00476,75.0,15.5,69.7,66.8,,38.7,65.86
S07760,77.7,18.7,78.4,70.8,7.71,44.2,62.9
S00994,82.1,14.8,79.1,75.0,7.14,59.9,66.61
S08896,89.0,22.5,87.6,78.6,7.26,72.2,91.84
S04771,86.5,25.6,82.7,71.1,10.0,74.8,94.33
S07604,82.6,15.8,74.9,80.0,7.57,80.1,77.67
S09237,51.9,2.0,30.0,33.9,4.88,23.3,14.15
S05001,82.0,19.9,74.4,82.0,8.68,68.6,99.16
S06261,,11.0,68.1,56.3,6.61,36.1,67.15
S08043,92.4,16.4,75.2,,6.64,72.9,83.85
S09260,74.7,19.5,52.8,58.5,6.9,49.5,76.19
S00104,71.7,10.2,77.6,57.1,6.75,54.8,47.55
S08755,62.4,10.6,57.8,45.0,6.27,47.6,54.63
S03282,78.7,3.5,72.3,50.2,6.73,58.8,69.57
S03341,74.0,,65.8,56.9,7.64,56.9,73.13
S09833,91.4,14.2,82.4,70.4,9.27,75.5,80.05
S01620,77.9,10.5,60.9,55.7,6.78,43.4,53.68
S03671,42.7,2.0,56.2,30.0,5.15,31.2,29.72
S03040,80.3,9.3,65.1,66.7,7.52,61.4,75.72
S09754,73.7,13.2,69.8,76.1,7.66,,71.06
S00973,85.1,24.6,83.9,83.9,7.46,50.0,75.54
S07390,70.7,8.6,,62.7,7.26,61.6,68.4
S02515,81.0,13.4,65.8,65.5,7.16,55.6,76.55
S09177,84.3,,82.3,88.2,9.06,81.0,91.63
S08237,45.4,15.2,65.0,46.2,4.0,32.8,36.43
S09232,75.4,17.8,70.2,57.9,6.44,,61.75
S03571,,11.5,79.5,65.6,9.16,64.9,77.27
S09486,82.1,23.5,70.2,53.8,7.93,60.5,72.57
S09856,59.9,17.9,63.4,59.0,7.64,57.2,77.39
S04924,81.8,15.5,86.5,84.7,8.25,48.0,73.23
S05684,86.3,23.2,84.0,90.4,8.71,72.7,100.0
S00220,59.9,20.5,86.4,63.9,6.59,72.8,64.71
S02420,92.4,35.3,85.7,85.1,8.93,67.2,92.93
S08121,65.4,14.4,,53.8,6.71,49.5,46.31
S06269,64.1,4.1,,30.0,4.93,43.1,52.62
S01328,83.2,28.9,73.5,84.0,7.25,75.1,87.86
S06280,55.6,4.9,,54.9,4.59,40.2,27.11
S09006,75.4,13.8,,57.7,6.37,59.2,63.16
S02141,87.6,12.1,70.7,62.5,5.88,51.3,73.51
S00094,85.8,25.6,75.3,89.9,8.19,77.3,77.1
S02961,78.2,18.6,89.0,57.2,7.64,62.8,63.77
S08521,70.9,17.8,68.0,60.1,6.42,53.5,70.14
S05776,52.4,7.8,66.1,49.5,5.11,41.9,43.23
S02382,60.8,9.9,47.3,44.7,5.46,46.8,47.27
S09778,67.4,9.6,70.7,46.6,6.62,54.6,51.62
S05582,76.3,26.5,83.9,81.0,8.53,51.8,85.59
S01559,70.4,12.3,82.0,57.7,6.95,68.6,65.78
S05600,56.6,6.7,56.6,64.8,5.72,34.6,61.64
S04862,72.5,15.2,43.0,43.3,6.17,35.0,55.49
S07442,91.3,19.8,,81.2,8.29,,85.96
S05272,92.5,17.9,78.1,77.4,8.42,79.9,73.37
S09197,71.0,18.4,71.6,48.2,6.67,58.5,47.08
S09176,64.2,12.5,68.9,40.6,5.31,65.5,47.68
S09274,65.9,26.4,70.6,67.4,7.37,77.3,76.28
S00650,80.2,9.6,59.6,54.3,6.19,61.4,75.18
S07559,67.5,2.0,,59.0,6.66,41.6,48.36
S08317,72.1,18.4,52.7,60.8,5.91,59.5,62.76
S05062,85.5,22.7,81.2,78.4,8.78,47.1,87.09
S05743,50.5,3.4,41.5,39.2,6.0,48.2,41.99
S00710,98.1,21.8,69.6,39.2,5.81,50.0,54.34
